fund,vintage_year,capital_committed,cash_in,cash_out,cash_out_&_remaining_value,net_irr,investment_multiple,source,scraped_date
"Hellman & Friedman Capital Partners VIII, L.P.",2016,"$500,000,000","$519,730,771","$345,494,661","$894,915,063",10.5%,,CalPERS,2026-02-18
"Riverstone Global Energy and Power Fund VI, L.P.",2016,"$500,000,000","$647,159,455","$498,912,912","$662,896,313",0.6%,,CalPERS,2026-02-18
"Towerbrook Structured Opportunities Fund (Onshore), L.P.",2016,"$221,786,667","$296,219,920","$252,997,540","$373,052,199",6.9%,,CalPERS,2026-02-18
Wigmore Street Co-investment No. 1 LP,2016,"$99,871,132","$93,696,159","$159,363,280","$201,987,134",21.4%,,CalPERS,2026-02-18
"Ares Corporate Opportunities Fund V, L.P.",2017,"$425,000,000","$477,162,390","$249,808,028","$619,081,519",6.0%,,CalPERS,2026-02-18
BDC III C LP,2017,"$131,906,972","$120,201,932","$297,171,348","$428,800,030",38.4%,,CalPERS,2026-02-18
"Cerberus CAL II Partners, L.P.",2017,"$500,000,000","$423,762,376","$752,807,320","$1,208,192,520",23.0%,,CalPERS,2026-02-18
CVC Capital Partners Strategic Opportunities Compounding Capital L.P.,2017,"$997,335,669","$1,069,448,175","$626,627,409","$2,078,999,989",12.4%,,CalPERS,2026-02-18
Permira VI L.P. 1,2017,"$498,864,412","$488,579,133","$519,339,517","$980,111,884",15.2%,,CalPERS,2026-02-18
"SL SPV-1, L.P.",2017,"$38,675,166","$84,029,782","$99,011,503","$105,132,771",3.2%,,CalPERS,2026-02-18
"Trident VII, L.P.",2017,"$270,000,000","$323,736,801","$311,352,650","$728,191,180",18.6%,,CalPERS,2026-02-18
Valor Equity Partners IV L.P.,2017,"$75,000,000","$74,484,349","$16,149,150","$236,386,356",20.2%,,CalPERS,2026-02-18
Wigmore Street (BDC III) LP,2017,"$32,872,355","$30,733,886","$68,253,967","$101,784,541",34.7%,,CalPERS,2026-02-18
Blackstone Tactical Opportunities Fund III-C L.P.,2018,"$175,000,000","$360,927,723","$336,336,002","$478,414,416",11.8%,,CalPERS,2026-02-18
"Carlyle Asia Partners V, L.P.",2018,"$125,000,000","$222,315,337","$183,549,191","$301,760,034",16.7%,,CalPERS,2026-02-18
"Carlyle Partners VII, L.P.",2018,"$300,000,000","$605,512,059","$561,144,521","$894,434,433",13.1%,,CalPERS,2026-02-18
"Clayton, Dubilier & Rice Fund X, L.P.",2018,"$150,000,000","$161,652,863","$249,021,651","$379,922,653",30.4%,,CalPERS,2026-02-18
"Clearlake Capital Partners V, L.P.",2018,"$75,000,000","$112,539,514","$155,387,066","$228,285,018",33.5%,,CalPERS,2026-02-18
CVC Capital Partners VII (A) L.P.,2018,"$440,332,347","$585,186,495","$596,415,977","$1,215,894,172",20.4%,,CalPERS,2026-02-18
"Grandval, L.P.",2018,"$50,000,000","$49,824,644","$15,027,711","$91,225,689",15.8%,,CalPERS,2026-02-18
"Insight Venture Partners X, L.P.",2018,"$250,000,000","$261,808,718","$292,939,483","$734,681,793",22.4%,,CalPERS,2026-02-18
Onex Partners V-B LP,2018,"$455,585,109","$481,826,963","$135,123,870","$714,558,679",10.4%,,CalPERS,2026-02-18
"Palladium Equity Partners V, L.P.",2018,"$75,000,000","$78,849,117","$51,664,411","$125,809,952",13.3%,,CalPERS,2026-02-18
"Silver Lake Partners V, L.P.",2018,"$400,000,000","$409,532,925","$251,920,967","$671,856,755",12.0%,,CalPERS,2026-02-18
"Silver Lake Technology Investors V, L.P.",2018,"$100,000,000","$94,513,693","$70,592,143","$183,972,746",15.1%,,CalPERS,2026-02-18
"Tailwind Capital Partners III, L.P.",2018,"$200,000,000","$224,001,663","$120,243,439","$374,527,641",17.8%,,CalPERS,2026-02-18
"The Rise Fund (A), L.P.",2018,"$75,000,000","$83,481,131","$51,312,149","$120,057,034",9.4%,,CalPERS,2026-02-18
"TPG Growth IV, L.P.",2018,"$75,000,000","$84,678,449","$83,439,339","$142,338,099",14.3%,,CalPERS,2026-02-18
Advent International GPE IX Limited Partnership,2019,"$550,000,000","$525,249,416","$152,794,529","$871,574,214",14.7%,,CalPERS,2026-02-18
"Apollo Investment Fund IX, L.P",2019,"$550,000,000","$565,232,093","$333,327,298","$853,664,573",15.9%,,CalPERS,2026-02-18
BE VI 'H' L.P.,2019,"$393,209,490","$376,217,628","$211,010,705","$705,947,652",17.8%,,CalPERS,2026-02-18
Blackstone Tactical Opportunities Fund III-C (Surge) L.P.,2019,"$500,000,000","$511,209,485","$206,197,357","$793,402,718",15.8%,,CalPERS,2026-02-18
"Carlyle Europe Partners V, S.C.Sp.",2019,"$164,057,846","$287,034,448","$199,194,575","$318,015,215",4.6%,,CalPERS,2026-02-18
"Cerberus CAL III Partners, L.P.",2019,"$500,000,000","$480,956,761","$42,879,804","$386,716,966",-5.7%,,CalPERS,2026-02-18
"GCM Grosvenor DEM III, L.P.",2019,"$550,000,000","$538,563,823","$295,076,347","$913,014,237",20.9%,,CalPERS,2026-02-18
"Grandval II, L.P.",2019,"$1,050,000,000","$833,018,804","$159,053,804","$1,310,752,752",14.0%,,CalPERS,2026-02-18
PAG Asia III LP,2019,"$380,000,000","$383,025,285","$120,613,628","$498,913,698",8.1%,,CalPERS,2026-02-18
Permira Growth Opportunities I L.P. 1,2019,"$200,000,000","$206,766,438","$52,662,033","$270,679,226",8.0%,,CalPERS,2026-02-18
"Siris Partners IV, L.P.",2019,"$100,000,000","$115,527,607","$39,526,012","$151,573,189",8.0%,,CalPERS,2026-02-18
"SL SPV-2, L.P.",2019,"$28,417,191","$50,512,399","$126,178,253","$196,343,711",29.9%,,CalPERS,2026-02-18
"TCV X, L.P.",2019,"$156,592,057","$131,366,092","$91,818,225","$349,445,873",22.2%,,CalPERS,2026-02-18
Towerbrook Investors V (Onshore) LP,2019,"$400,000,000","$437,610,934","$84,527,012","$685,533,527",15.2%,,CalPERS,2026-02-18
Towerbrook Structured Opportunities Fund II (Onshore) LP,2019,"$250,000,000","$243,426,930","$158,784,447","$338,911,272",14.4%,,CalPERS,2026-02-18
"TPG Golden Bear Partners, L.P.",2019,"$500,000,000","$489,403,401","$163,308,240","$879,121,837",16.3%,,CalPERS,2026-02-18
"TPG Healthcare Partners, L.P.",2019,"$100,000,000","$99,141,145","$27,862,432","$133,371,811",11.5%,,CalPERS,2026-02-18
"TPG Partners VIII, L.P.",2019,"$150,000,000","$389,023,859","$353,310,099","$530,779,959",19.7%,,CalPERS,2026-02-18
"Triton Fund V, LP",2019,"$282,563,550","$273,484,225","$123,023,488","$474,605,751",18.6%,,CalPERS,2026-02-18
"Vista Equity Partners Fund VII-Z, L.P.",2019,"$400,000,000","$409,610,509","$42,412,855","$498,672,752",5.0%,,CalPERS,2026-02-18
