fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
"Investindustrial VI, L.P.",2015,55802326.0,52562707.0,275233.0,51522793.0,0.99,-0.008,Florida SBA,2020-Q2,2025-02-19
Investindustrial VII L.P.,2018,76982294.0,5033723.0,0.0,4029314.0,0.8,,Florida SBA,2020-Q2,2025-02-19
"J.H. Whitney VII, L.P.",2010,75000000.0,76343685.0,59281951.0,75210635.0,1.76,0.128,Florida SBA,2020-Q2,2025-02-19
"Kelso Investment Associates VII, L.P.",2003,50000000.0,47514909.0,81982841.0,,1.73,0.122,Florida SBA,2020-Q2,2025-02-19
"Kelso Investment Associates VIII, L.P.",2007,100000000.0,85871953.0,135469605.0,,1.58,0.138,Florida SBA,2020-Q2,2025-02-19
"KKR Asian Fund II, L.P.",2011,100000000.0,111832105.0,63342438.0,89658952.0,1.37,0.0969999999999999,Florida SBA,2020-Q2,2025-02-19
"KKR Asian Fund III, L.P.",2016,150000000.0,90330654.0,19263238.0,95478462.0,1.27,0.2339999999999999,Florida SBA,2020-Q2,2025-02-19
"KKR European Fund III, L.P.",2007,58757859.0,50706630.0,53362696.0,,1.05,0.018,Florida SBA,2020-Q2,2025-02-19
"Kohlberg Investors V, L.P.",2004,45000000.0,42466621.0,45208998.0,,1.06,0.012,Florida SBA,2020-Q2,2025-02-19
"Kohlberg Investors VI, L.P.",2007,50000000.0,43063311.0,72089155.0,,1.67,0.158,Florida SBA,2020-Q2,2025-02-19
"KPS Special Situations Supplemental Fund III, L.P.",2009,50000000.0,31895331.0,84713785.0,431164.0,2.67,0.226,Florida SBA,2020-Q2,2025-02-19
"KPS Special Situations Fund IV, L.P.",2013,150000000.0,130234529.0,33517492.0,120331713.0,1.18,0.12,Florida SBA,2020-Q2,2025-02-19
"KPS Special Situations Fund V (A), LP",2019,200000000.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
"KPS Special Situations Mid-Cap Fund, LP",2019,50000000.0,8865944.0,0.0,8418193.0,0.95,,Florida SBA,2020-Q2,2025-02-19
LCP FSBA Co-Invest Account,2016,200000000.0,98357979.0,33895472.0,105935915.0,1.42,0.241,Florida SBA,2020-Q2,2025-02-19
"Lexington Capital Partners IV, L.P.",2000,200000000.0,196224328.0,348392190.0,,1.78,0.2019999999999999,Florida SBA,2020-Q2,2025-02-19
"Lexington Capital Partners V, L.P.",2001,100000000.0,99513278.0,166745049.0,519641.0,1.68,0.1889999999999999,Florida SBA,2020-Q2,2025-02-19
"Lexington Capital Partners VI, L.P.",2005,100000000.0,106132653.0,137945109.0,6347784.0,1.36,0.064,Florida SBA,2020-Q2,2025-02-19
"Lexington Capital Partners VII, L.P.",2009,200000000.0,174592348.0,234021369.0,39860590.0,1.57,0.135,Florida SBA,2020-Q2,2025-02-19
"Lexington Capital Partners VIII, L.P.",2013,250000000.0,222252099.0,128836324.0,158794814.0,1.29,0.138,Florida SBA,2020-Q2,2025-02-19
"Lexington Capital Partners IX, L.P.",2018,250000000.0,17704999.0,4729219.0,24850186.0,1.67,,Florida SBA,2020-Q2,2025-02-19
Lexington CIP V-F-O,2020,200000000.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
"Lexington Co-Investment Partners (Pools I & II), L.P.",1998,500000000.0,499974505.0,675610817.0,,1.35,0.063,Florida SBA,2020-Q2,2025-02-19
"Lexington Co-Investment Partners II (Pools III & IV), L.P.",1998,500000000.0,495794418.0,1073220891.0,6986256.0,2.18,0.2339999999999999,Florida SBA,2020-Q2,2025-02-19
"Lexington Co-Investment Partners 2005 (Pools I & II), L.P.",2005,500000000.0,497964643.0,643552297.0,63984492.0,1.42,0.052,Florida SBA,2020-Q2,2025-02-19
"Lexington Co-Investment Partners 2005 (Pool III), L.P.",2012,500000000.0,524183985.0,616359651.0,340959806.0,1.83,0.168,Florida SBA,2020-Q2,2025-02-19
Lexington Co-Investment Partners 2005 Pool IV,2015,500000000.0,474240000.0,48611489.0,545412444.0,1.25,0.156,Florida SBA,2020-Q2,2025-02-19
"Lexington Co-Investment Partners V, L.P.",2019,150000000.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
"Lexington Middle Market Investors III, L.P.",2012,100000000.0,80776463.0,65231581.0,50026904.0,1.43,0.143,Florida SBA,2020-Q2,2025-02-19
Liberty Partners Pool I,1993,205686600.0,198347330.0,465437875.0,,2.35,0.207,Florida SBA,2020-Q2,2025-02-19
Liberty Partners Pool II,1994,359789821.0,376606498.0,605073932.0,,1.61,0.107,Florida SBA,2020-Q2,2025-02-19
Liberty Partners Pool III,1996,506208481.0,529232632.0,538362219.0,,1.02,0.004,Florida SBA,2020-Q2,2025-02-19
Liberty Partners Pool IV,1998,195075745.0,198104313.0,132103527.0,,0.67,-0.192,Florida SBA,2020-Q2,2025-02-19
Liberty Partners Pool V,1999,329664359.0,347297915.0,396920863.0,,1.14,0.027,Florida SBA,2020-Q2,2025-02-19
Liberty Partners Pool VI,2002,595484687.0,1315567216.0,1128135042.0,13000.0,0.86,-0.066,Florida SBA,2020-Q2,2025-02-19
Liberty Partners Pool VII,2005,290808542.0,251874140.0,210667930.0,2559626.0,0.85,-0.073,Florida SBA,2020-Q2,2025-02-19
"Liberty Partners Group II, L.P.",2008,9766830.0,741589.0,0.0,,0.0,-1.0,Florida SBA,2020-Q2,2025-02-19
Lightbay Investment Partners LP,2016,50000000.0,15867889.0,1109106.0,13799950.0,0.94,-0.071,Florida SBA,2020-Q2,2025-02-19
"Lindsay, Goldberg & Bessemer II, L.P.",2006,100000000.0,92552700.0,137178856.0,,1.48,0.08,Florida SBA,2020-Q2,2025-02-19
"Lindsay, Goldberg & Bessemer III, L.P.",2008,100000000.0,92507383.0,109182421.0,,1.18,0.068,Florida SBA,2020-Q2,2025-02-19
Livingbridge Enterprise 3 LP,2018,32305168.0,1129276.0,0.0,16792.0,0.01,,Florida SBA,2020-Q2,2025-02-19
Livingbridge 7 LP,2020,79484938.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
"MBK Partners Fund V, L.P.",2019,100000000.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
"Montagu Private Equity IV, L.P.",2010,56819796.0,47196996.0,65597905.0,8396155.0,1.57,0.133,Florida SBA,2020-Q2,2025-02-19
Montagu V,2014,111109877.0,90359707.0,26055408.0,79780022.0,1.17,0.093,Florida SBA,2020-Q2,2025-02-19
Montagu VI L.P.,2019,85323261.0,0.0,0.0,,,,Florida SBA,2020-Q2,2025-02-19
"New Mountain Partners II, L.P.",2004,50000000.0,40792023.0,82743413.0,839075.0,2.05,0.136,Florida SBA,2020-Q2,2025-02-19
"New Mountain Partners III, L.P.",2007,100000000.0,93307647.0,132238789.0,76249111.0,2.23,0.134,Florida SBA,2020-Q2,2025-02-19
"New Mountain Partners IV, L.P.",2012,100000000.0,89703570.0,142727228.0,,1.59,0.221,Florida SBA,2020-Q2,2025-02-19
OpCapita Consumer Opportunities Fund II,2016,38251366.0,28685331.0,586988.0,22930788.0,0.82,-0.091,Florida SBA,2020-Q2,2025-02-19
"OpCapita Consumer Opportunities Fund III, L.P.",2019,38682154.0,509961.0,0.0,1.0,0.0,,Florida SBA,2020-Q2,2025-02-19
"OpenView Venture Partners IV, L.P.",2014,25000000.0,25000000.0,683616.0,37079336.0,1.51,0.13,Florida SBA,2020-Q2,2025-02-19
"OpenView Venture Partners V, L.P.",2017,25000000.0,21917500.0,4265991.0,28151828.0,1.48,0.31,Florida SBA,2020-Q2,2025-02-19
"OpenView Venture Partners VI, L.P.",2019,30000000.0,630000.0,0.0,393983.0,0.63,,Florida SBA,2020-Q2,2025-02-19
"PAI Europe V, L.P.",2007,42563071.0,35666465.0,46401458.0,,1.3,0.07,Florida SBA,2020-Q2,2025-02-19
