fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,source,scraped_date,reporting_period
"Spectrum Equity VII, L.P.",2014,105000000,110383799,311116176,101048209,37.22,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Spectrum Equity VIII-A, L.P.",2018,110000000,114404626,165922170,97139733,29.59,CalSTRS,2026-02-18,"FYE June 30, 2025"
Spectrum VIII-A Discretionary Overage Program,2019,20000000,19321646,46332352,11241340,91.26,CalSTRS,2026-02-18,"FYE June 30, 2025"
"SSG Capital Partners III, LP",2014,75000000,92277258,114523453,1306529,8.25,CalSTRS,2026-02-18,"FYE June 30, 2025"
SSG Capital Partners IV,2017,150000000,220012658,217303208,45785940,7.91,CalSTRS,2026-02-18,"FYE June 30, 2025"
"SSG Capital Partners V, L.P.",2019,150000000,204474232,219358352,16432963,14.30,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Strategic Investors Fund IX-B, L.P.",2018,75000000,67350000,2362500,121594245,13.63,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Strategic Investors Fund VIII-B, L.P.",2016,40000000,34436820,19311672,89125459,20.51,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Strategic Investors V-B, L.P.",2012,43711765,38051696,158541310,54146044,25.29,CalSTRS,2026-02-18,"FYE June 30, 2025"
Strategic Investors VI-A,2013,45000000,43572473,85451518,90979315,19.58,CalSTRS,2026-02-18,"FYE June 30, 2025"
Strategic Investors VII-A,2015,47000000,44741597,65456929,93192342,20.42,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Strategic Investors X-B, L.P.",2020,75000000,68295000,74152,89156411,8.67,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Strategic Partners Fund VII, L.P.",2016,250000000,195695935,261307065,78387341,16.72,CalSTRS,2026-02-18,"FYE June 30, 2025"
Strategic Partners IX L.P.,2022,250000000,149241167,14837083,186965876,22.20,CalSTRS,2026-02-18,"FYE June 30, 2025"
Strategic Partners VIII,2019,500000000,420500338,351538051,313684085,21.62,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Summit Partners Credit Fund B-2, L.P.",2014,120000000,122434294,113058778,19213577,2.55,CalSTRS,2026-02-18,"FYE June 30, 2025"
Summit Partners Europe GE III,2021,117384945,106372713,25285274,131550281,15.49,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Summit Partners Europe Growth Equity Fund II, SCSP",2018,58692473,66257088,121946185,94621741,60.52,CalSTRS,2026-02-18,"FYE June 30, 2025"
Summit Partners Europe PE Fund,2009,58692473,57489625,150649540,,18.50,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Summit Partners Growth Eqty Fd IX-A,L.P.",2017,200000000,241074194,323183299,197490024,23.61,CalSTRS,2026-02-18,"FYE June 30, 2025"
Summit Partners Growth Equity Fund X-A,2020,300000000,294043262,96031854,339312807,12.79,CalSTRS,2026-02-18,"FYE June 30, 2025"
Summit Partners Growth Equity VIII-A,2012,100000000,93511585,238404898,11278188,25.35,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Summit Partners Private Equity Fund VII-A, L.P.",2006,100000000,100000000,183326962,4142567,10.18,CalSTRS,2026-02-18,"FYE June 30, 2025"
Summit Partners VC Fd V-A L.P.,2021,90000000,82459375,3997607,88530135,5.27,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Summit Partners Venture Capital Fund IV-A, L.P.",2016,50000000,60410702,64627759,100177453,34.25,CalSTRS,2026-02-18,"FYE June 30, 2025"
Summit Partners Venture Capital III-A,2012,20000000,20187044,42780542,7511033,17.79,CalSTRS,2026-02-18,"FYE June 30, 2025"
Summit Prtnrs Growth Eqty XI A,2022,450000000,214848815,1833426,219509370,1.98,CalSTRS,2026-02-18,"FYE June 30, 2025"
Summit Ptrs Reinvestment Fund,2021,60636711,65808173,64656846,26799101,15.81,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Summit Subordinated Debt Fund III, L.P.",2004,30000000,28156118,40633281,515062,8.58,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Summit Subordinated Debt Fund IV, L.P.",2009,40000000,24845945,40372855,318791,9.68,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TA Select Opps Fund-A, L.P.",2020,75000000,73875000,937500,108237816,9.31,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TA Subordinated Debt Fund III, L.P.",2010,20000000,19500000,38672271,276857,16.61,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TA XI, L.P.",2010,80000000,78800000,288834213,9826034,26.59,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TA XII, L.P.",2016,180000000,178200000,420742050,171028472,34.52,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TA XIII-A, L.P.",2019,280000000,298662621,224462621,342353614,22.36,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TA XIV A, LP",2021,400000000,391000001,32000001,435837661,7.86,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TCV VII, L.P.",2008,200000000,196800000,618766538,3939740,23.17,CalSTRS,2026-02-18,"FYE June 30, 2025"
"TCV X, L.P.",2019,88000000,66046900,36981750,144778964,22.85,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Tenex Capital Partners II, L.P.",2016,75000000,85641402,131879717,55526696,22.21,CalSTRS,2026-02-18,"FYE June 30, 2025"
"Tenex Capital Partners III, L.P.",2021,100000000,107899114,66455561,111063669,56.85,CalSTRS,2026-02-18,"FYE June 30, 2025"
