fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,tvpi,net_irr,source,reporting_period,scraped_date
Apollo European Principal Finance Fund II,2012,56125000.0,51626703.0,54533758.0,,1.16,0.0518,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Real Estate Debt Strategies II LP,2013,75000000.0,53021845.0,64081368.0,,1.25,0.092,Louisiana Teachers,2019-Q4,2025-02-19
OHA Newbury Partners LP,2013,75000000.0,61250000.0,58199445.0,,0.99,-0.0026,Louisiana Teachers,2019-Q4,2025-02-19
Colony Distressed Credit Fund III,2014,75000000.0,62256113.0,53796024.0,,1.33,0.0928,Louisiana Teachers,2019-Q4,2025-02-19
H.I.G. Bayside Loan Opportunity Fund IV LP,2014,50000000.0,32238914.0,19411862.0,,1.12,0.08199999999999999,Louisiana Teachers,2019-Q4,2025-02-19
Hark Capital I LP,2014,21135000.0,17128971.0,17975314.0,,1.42,0.11800000000000001,Louisiana Teachers,2019-Q4,2025-02-19
"Lone Star Fund IX, (U.S.), L.P.",2014,75000000.0,65126879.0,43005025.0,,1.24,0.10220000000000001,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Tactical Opportunities Fund II LP,2015,125000000.0,66942055.0,29592278.0,,1.46,0.1245,Louisiana Teachers,2019-Q4,2025-02-19
Castlelake IV LP,2015,75000000.0,70266912.0,14927101.0,,1.38,0.10890000000000001,Louisiana Teachers,2019-Q4,2025-02-19
Colony Distressed Credit Fund IV LP,2015,75000000.0,73626590.0,21533276.0,,1.19,0.07690000000000001,Louisiana Teachers,2019-Q4,2025-02-19
GSO Energy Select Opportunities Fund LP,2015,75000000.0,41372818.0,18051006.0,,1.24,0.1027,Louisiana Teachers,2019-Q4,2025-02-19
Lone Star Fund X,2016,75000000.0,63568720.0,7773063.0,,1.13,0.1127,Louisiana Teachers,2019-Q4,2025-02-19
OHA Strategic Credit Fund II LP,2016,75000000.0,30000000.0,0.0,,1.09,0.1499,Louisiana Teachers,2019-Q4,2025-02-19
Apollo European Principal Finance Fund III,2017,50000000.0,24144325.0,5013518.0,,1.2,0.17059999999999997,Louisiana Teachers,2019-Q4,2025-02-19
Castlelake V LP,2017,75000000.0,45955882.0,0.0,,1.19,0.1561,Louisiana Teachers,2019-Q4,2025-02-19
Hark Capital II LP,2017,25000000.0,18081332.0,899802.0,,1.12,0.1825,Louisiana Teachers,2019-Q4,2025-02-19
Torchlight Debt Opportunity Fund VI LP,2017,75000000.0,28665857.0,775877.0,,1.03,0.0487,Louisiana Teachers,2019-Q4,2025-02-19
GSO Energy Select Opportunities Fund II LP,2018,75000000.0,5337721.0,302482.0,,1.08,0.1076,Louisiana Teachers,2019-Q4,2025-02-19
Lone Star Fund XI LP,2018,75000000.0,4779517.0,1501410.0,,0.78,-0.5104,Louisiana Teachers,2019-Q4,2025-02-19
Oaktree Special Situations Fund II LP,2018,75000000.0,1650000.0,7265.0,,1.23,0.2273,Louisiana Teachers,2019-Q4,2025-02-19
Hancock Agricultural Separate Account,2016,100000000.0,58095136.0,1603582.0,,1.03,0.016,Louisiana Teachers,2019-Q4,2025-02-19
AgIS Separate Account,2019,100000000.0,66595000.0,0.0,,0.99,-0.0088,Louisiana Teachers,2019-Q4,2025-02-19
"First Reserve Fund XI, L.P.",2006,100000000.0,103549176.0,69309066.0,,0.69,-0.0817,Louisiana Teachers,2019-Q4,2025-02-19
"First Reserve Fund XII, L.P.",2008,100000000.0,87396396.0,46999244.0,,0.64,-0.1001,Louisiana Teachers,2019-Q4,2025-02-19
"Energy Capital Partners II-B, LP",2010,100000000.0,66167001.0,96240443.0,,1.35,0.0738,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Energy Partners LP,2011,75000000.0,67832309.0,72355246.0,,1.62,0.11599999999999999,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Energy Co-Investment Opportunity,2012,12000000.0,10218353.0,25981485.0,,5.33,0.3789,Louisiana Teachers,2019-Q4,2025-02-19
Blackstone Energy Partners II LP,2014,100000000.0,73517741.0,3250115.0,,1.15,0.0708,Louisiana Teachers,2019-Q4,2025-02-19
EnCap Flatrock Midstream Fund III LP,2014,25000000.0,21248381.0,6903379.0,,1.21,0.11710000000000001,Louisiana Teachers,2019-Q4,2025-02-19
Energy Capital Partners III LP,2014,100000000.0,101075920.0,41473494.0,,1.21,0.0801,Louisiana Teachers,2019-Q4,2025-02-19
LS Power Fund III Feeder 1 LP,2014,50000000.0,33743521.0,29110229.0,,1.78,0.1954,Louisiana Teachers,2019-Q4,2025-02-19
Turnbridge Capital Partners I LP,2014,30625000.0,24612966.0,7763545.0,,1.06,0.019299999999999998,Louisiana Teachers,2019-Q4,2025-02-19
Global Infrastructure Partners III LP,2016,50000000.0,38206790.0,6060130.0,,1.14,0.0716,Louisiana Teachers,2019-Q4,2025-02-19
EnCap Flatrock Midstream Fund IV LP,2017,50000000.0,16041588.0,1305961.0,,1.15,0.1308,Louisiana Teachers,2019-Q4,2025-02-19
Stonepeak Infrastructure Fund III LP,2017,50000000.0,26471042.0,4031802.0,,1.18,0.2583,Louisiana Teachers,2019-Q4,2025-02-19
LS Power Equity Partners IV LP,2018,50000000.0,3318891.0,340941.0,,1.01,0.019299999999999998,Louisiana Teachers,2019-Q4,2025-02-19
"Falcon Mezzanine Partners II, L.P.",2005,40000000.0,41225895.0,64833682.0,,1.47,0.0718,Louisiana Teachers,2019-Q4,2025-02-19
"Gleacher Mezzanine Fund II, L.P.",2006,45000000.0,38265563.0,55311366.0,,1.33,0.1058,Louisiana Teachers,2019-Q4,2025-02-19
"Falcon Strategic Partners III, L.P.",2008,72894444.0,82655218.0,110964476.0,,1.44,0.09029999999999999,Louisiana Teachers,2019-Q4,2025-02-19
"TCW Crescent Mezzanine Partners V, L.P.",2008,100000000.0,96702067.0,127810517.0,,1.34,0.09570000000000001,Louisiana Teachers,2019-Q4,2025-02-19
Ascribe Opportunities Fund II LP,2010,50000000.0,42687646.0,50044816.0,,1.24,0.052000000000000005,Louisiana Teachers,2019-Q4,2025-02-19
"Merit Mezzanine Fund V, LP",2010,40000000.0,37890612.0,36719925.0,,1.55,0.10220000000000001,Louisiana Teachers,2019-Q4,2025-02-19
Peninsula Fund V,2010,38911392.0,36148763.0,34094169.0,,1.54,0.09519999999999999,Louisiana Teachers,2019-Q4,2025-02-19
Providence TMT Debt Opportunity FD II,2010,50000000.0,42520714.0,65904798.0,,1.56,0.10679999999999999,Louisiana Teachers,2019-Q4,2025-02-19
