fund_name,vintage_year,capital_committed,capital_contributed,capital_distributed,nav,net_irr,tvpi,source,reporting_period,scraped_date
"Rembrandt Venture Partners III, L.P.",2012,20000000.0,19890000.0,4446443.0,27930907.0,0.11194607514004494,1.6278205128205128,Massachusetts PRIM,2020-Q1,2025-02-19
"Rhone Partners V, L.P.",2015,112189591.14874968,81277017.44676718,22164419.27,67765979.8550733,0.050406577248132675,1.1064677562014835,Massachusetts PRIM,2020-Q1,2025-02-19
"SAIF Partners IV, L.P.",2010,25000000.0,30653580.0,12814907.0,35507063.0,0.07964899058534254,1.5763891199657594,Massachusetts PRIM,2020-Q1,2025-02-19
"SCP Vitalife Partners II, L.P.",2007,15000000.0,14966886.0,,5904257.0,-0.09951631863163468,0.39448800505328896,Massachusetts PRIM,2020-Q1,2025-02-19
"Sherbrooke Capital Health & Wellness II, L.P.",2007,20000000.0,21993180.990000002,19286357.4,9342920.0,0.11908432128505843,1.301734269954735,Massachusetts PRIM,2020-Q1,2025-02-19
"Sofinnova Venture Partners IX, L.P.",2014,30000000.0,29100000.0,9647573.98,29360543.0,0.10700750527878551,1.340485119587629,Massachusetts PRIM,2020-Q1,2025-02-19
"Sofinnova Venture Partners VIII, L.P.",2011,20000000.0,20000000.0,25425150.470000003,6093139.0,0.21228473252310856,1.5759144735,Massachusetts PRIM,2020-Q1,2025-02-19
"Sofinnova Venture Partners X, L.P.",2017,50000000.0,19000000.0,1570405.34,22238751.0,0.18362650249604895,1.2531134915789475,Massachusetts PRIM,2020-Q1,2025-02-19
"Spark Capital Growth Fund II, L.P.",2017,40000000.0,35400000.0,,40133998.0,0.09454789391256706,1.1337287570621468,Massachusetts PRIM,2020-Q1,2025-02-19
"Spark Capital Growth Fund, L.P.",2014,40000000.0,40000000.0,,78414895.0,0.1724120264812578,1.960372375,Massachusetts PRIM,2020-Q1,2025-02-19
"Spark Capital II, L.P.",2008,12500000.0,12500000.0,45026554.17,7785924.0,0.5139592118886982,4.2249982536,Massachusetts PRIM,2020-Q1,2025-02-19
"Spark Capital III, L.P.",2011,20000000.0,20000000.0,26917870.643999998,40844142.0,0.31896543359313345,3.3881006322,Massachusetts PRIM,2020-Q1,2025-02-19
"Spark Capital IV, L.P.",2013,25000000.0,24875000.0,7493094.66,36574773.0,0.15331780724259386,1.7715725692462312,Massachusetts PRIM,2020-Q1,2025-02-19
"Spark Capital V, L.P.",2017,25000000.0,20875000.0,,22404055.0,0.04885133396292234,1.0732481437125747,Massachusetts PRIM,2020-Q1,2025-02-19
"Spark Capital, L.P.",2005,11800000.0,11564000.0,15650782.0,612502.0,0.08395117678058804,1.4063718436527155,Massachusetts PRIM,2020-Q1,2025-02-19
"Spectrum Equity Investors V, L.P.",2006,50000000.0,46915586.0,114017899.41,372041.0,0.17974119854205706,2.4382076440439215,Massachusetts PRIM,2020-Q1,2025-02-19
